Date,MSFT,AAPL,AMZN,FB,JPM,GOOGL,GOOG,JNJ,V,PG,XOM,T,BAC,UNH,MA,DIS,INTC,VZ,HD,MRK,CVX,PFE,KO,WFC,CMCSA,CSCO,PEP,BA,C,WMT,ADBE,ABT,MDT,BMY,MCD,CRM,NVDA,NFLX,AMGN,ACN,PM,ABBV,TMO,COST,PYPL,NKE,HON,UNP,AVGO,UTX
2010-01-19,46575700.0,730007600.0,177852000.0,,41731500.0,172495332.0,173315202.0,15181800.0,15239600.0,11577700.0,26081900.0,44965291.0,181616500.0,26477900.0,14633000.0,9662100.0,82573500.0,23935668.0,14170100.0,20908334.0,8722200.0,82562244.0,14615400.0,40815800.0,25319000.0,37607500.0,5615800.0,5427100.0,80789300.0,14618500.0,5964100.0,16663610.0,6034400.0,19370400.0,8551500.0,6252800.0,54532800.0,5302500.0,8570100.0,5343600.0,8804100.0,,3991200.0,2558200.0,,7453200.0,5475736.0,5984400.0,381300.0,
2010-01-20,54849500.0,612152800.0,181494000.0,,39934400.0,129897972.0,130515377.0,13033000.0,12771200.0,11557800.0,34629500.0,51751188.0,288741100.0,26854700.0,10211000.0,13302800.0,65670100.0,30237693.0,13256400.0,21843150.0,8703800.0,83522965.0,18810200.0,75712300.0,43376400.0,42125400.0,5606000.0,5374100.0,47944940.0,13308600.0,6258500.0,14080659.0,4489100.0,16368400.0,6996800.0,7260000.0,71972800.0,9685200.0,6625700.0,4409900.0,6461400.0,,3862800.0,4484600.0,,8008400.0,4842718.0,16682800.0,193800.0,
2010-01-21,73086700.0,608154400.0,199412000.0,,137547700.0,252055692.0,253253712.0,14473900.0,28140800.0,14298400.0,39114000.0,53059168.0,551285500.0,29192700.0,14131000.0,15403600.0,73633300.0,23572406.0,18900600.0,26803019.0,12573200.0,81343188.0,27396800.0,90151500.0,65772600.0,54767500.0,7121500.0,5401300.0,95968050.0,16028700.0,7404400.0,17317216.0,8339400.0,16776800.0,11724100.0,8946000.0,60863200.0,8614900.0,5833700.0,4578300.0,10276000.0,,3014100.0,3456800.0,,13983200.0,7782607.0,17484200.0,338600.0,
2010-01-22,102004600.0,881767600.0,231378000.0,,106634900.0,271743984.0,273035583.0,14017200.0,29776400.0,17703200.0,39085500.0,50814723.0,369620800.0,21021600.0,13251000.0,14459400.0,116302400.0,24228667.0,16696600.0,18301853.0,13825000.0,65034962.0,23551400.0,69506900.0,56665000.0,70424300.0,7229000.0,4743300.0,65474150.0,19415900.0,7721300.0,14599208.0,6425100.0,15945500.0,15645900.0,8788800.0,106791600.0,9395400.0,5967600.0,4903400.0,8717000.0,,3904300.0,4220600.0,,13320000.0,7262347.0,11654400.0,923500.0,
2010-01-25,63373000.0,1065699600.0,240478000.0,,56572200.0,176619204.0,177458675.0,10001700.0,16147200.0,11630800.0,29305100.0,39589586.0,262351600.0,10925800.0,10811000.0,11155800.0,73785600.0,21103350.0,11098400.0,16116039.0,9129700.0,51933110.0,16853200.0,48319700.0,30493200.0,51288800.0,4903800.0,3489900.0,49752440.0,12003300.0,6961500.0,10109421.0,4732200.0,11292200.0,6382200.0,9866800.0,64367600.0,13791400.0,6719400.0,3665700.0,5880900.0,,2463700.0,2690600.0,,10749600.0,3230017.0,7202600.0,261400.0,
2010-01-26,66639900.0,1867110000.0,191180000.0,,52975300.0,174045780.0,174873019.0,15630300.0,12437600.0,13079000.0,34083300.0,45239226.0,212380600.0,11057200.0,11194000.0,11197300.0,65298900.0,37811511.0,13275800.0,20817158.0,10558200.0,45955032.0,15515000.0,66590800.0,42569400.0,55312800.0,5001700.0,4552000.0,45890280.0,15584000.0,5356300.0,13814506.0,5735400.0,13539300.0,9292700.0,10367200.0,71463600.0,11343500.0,14880300.0,3459000.0,5858200.0,,3662600.0,3530500.0,,6711200.0,2911463.0,6630400.0,765400.0,
2010-01-27,63949500.0,1722568400.0,295306000.0,,66314300.0,158417424.0,159170382.0,14982400.0,19335200.0,15228400.0,35723500.0,78105143.0,258716200.0,14387100.0,10066000.0,16121200.0,74926200.0,34965652.0,12821800.0,18322289.0,13373200.0,57558308.0,20414800.0,63074200.0,40780000.0,51802900.0,6145900.0,14758500.0,55891370.0,13192100.0,9896900.0,24107753.0,4824800.0,12404200.0,8080800.0,5947600.0,81250400.0,23347100.0,9695000.0,4562300.0,5177700.0,,2210900.0,3776200.0,,13560400.0,6189101.0,7972200.0,696300.0,
2010-01-28,117513700.0,1173502400.0,545862000.0,,65047400.0,129034836.0,129648138.0,17096000.0,13070800.0,26930000.0,37349800.0,68925984.0,232729500.0,16742100.0,16120000.0,17126000.0,76974600.0,35659870.0,19430400.0,14008197.0,12828800.0,53690549.0,20905200.0,62109300.0,38618800.0,63620000.0,9285900.0,8862500.0,51294260.0,16960100.0,6417800.0,13856398.0,5019600.0,18705200.0,8560100.0,5684400.0,68776400.0,77352800.0,11638200.0,4773300.0,5594200.0,,2608200.0,3197000.0,,7158000.0,6192352.0,11030600.0,14457600.0,
2010-01-29,193888500.0,1245952400.0,589426000.0,,53649000.0,165454380.0,166240784.0,17844400.0,20281600.0,17067100.0,40880500.0,51531404.0,175135300.0,11931500.0,15042000.0,14507900.0,96053900.0,27086894.0,22453800.0,16893655.0,15265600.0,59071114.0,22146800.0,88783700.0,54386600.0,73431900.0,8127200.0,8725400.0,67942930.0,24280800.0,8377800.0,19832013.0,6485700.0,20525500.0,7589600.0,6281200.0,77470000.0,24604300.0,9465700.0,4618100.0,7064100.0,,3009300.0,5413900.0,,10402400.0,15968834.0,9834000.0,3357000.0,
2010-02-01,85931100.0,749876400.0,755488000.0,,37408200.0,89941968.0,90369462.0,10153400.0,16098000.0,12908100.0,37703000.0,48689306.0,159503300.0,13710200.0,9329000.0,10894200.0,50338300.0,18225611.0,17172100.0,9666647.0,11828500.0,41586308.0,14517600.0,45240000.0,32681400.0,54386100.0,7303200.0,5919900.0,23577690.0,11019500.0,8705500.0,18361192.0,5434500.0,15287600.0,8062700.0,5632000.0,94983200.0,18914000.0,7079100.0,3540100.0,8066200.0,,4060200.0,4295300.0,,6407600.0,5390984.0,8134000.0,509500.0,
