Date,MSFT,AAPL,AMZN,FB,JPM,GOOGL,GOOG,JNJ,V,PG,XOM,T,BAC,UNH,MA,DIS,INTC,VZ,HD,MRK,CVX,PFE,KO,WFC,CMCSA,CSCO,PEP,BA,C,WMT,ADBE,ABT,MDT,BMY,MCD,CRM,NVDA,NFLX,AMGN,ACN,PM,ABBV,TMO,COST,PYPL,NKE,HON,UNP,AVGO,UTX
2010-01-04,23.800220489501953,6.5260210037231445,6.695000171661377,,31.017709732055664,15.684433937072754,15.610239028930664,44.86376190185547,20.175329208374023,41.733734130859375,42.74776077270508,8.221733093261719,13.329649925231934,26.145057678222656,24.075624465942383,27.933921813964844,14.209619522094727,17.112436294555664,21.389394760131836,22.918659210205078,48.064483642578125,11.22342586517334,19.3570499420166,19.621723175048828,6.686672210693359,17.695966720581055,42.458465576171875,43.777557373046875,28.461061477661133,40.65803146362305,37.09000015258789,19.613130569458008,33.270111083984375,17.11003303527832,43.95600509643555,18.704999923706055,4.244654178619385,7.639999866485596,43.90163040161133,33.11753463745117,27.52365493774414,,45.43463897705078,44.00828552246094,,14.072685241699219,29.235078811645508,25.15837287902832,14.128896713256836,
2010-01-05,23.80791664123535,6.537304401397705,6.734499931335449,,31.618528366088867,15.615365028381348,15.541497230529785,44.343528747558594,19.944133758544922,41.74739074707031,42.91466522216797,8.1814603805542,13.762928009033203,26.103599548339844,24.004390716552734,27.86423683166504,14.202813148498535,17.143280029296875,21.546072006225586,23.011552810668945,48.40492630004883,11.06334400177002,19.122896194458008,20.16038703918457,6.596047401428223,17.61712646484375,42.97151565551758,45.211334228515625,29.549283981323242,40.25316619873047,37.70000076293945,19.454669952392578,33.95217514038086,16.84299087524414,43.619930267333984,18.625,4.306637287139893,7.3585710525512695,43.521324157714844,33.32221221923828,27.283842086791992,,45.58767318725586,43.87494659423828,,14.128677368164062,29.29303550720215,25.50848388671875,14.233770370483398,
2010-01-06,23.661808013916016,6.433318138122559,6.612500190734863,,31.79224967956543,15.221721649169922,15.149715423583984,44.70421600341797,19.676319122314453,41.549381256103516,43.28557205200195,8.10108757019043,13.924342155456543,26.360652923583984,23.96968650817871,27.71616554260254,14.15517520904541,16.650346755981445,21.471458435058594,23.32118797302246,48.4109992980957,11.0277738571167,19.116106033325195,20.189115524291992,6.548764705657959,17.502452850341797,42.54165267944336,46.58279800415039,30.470075607299805,40.16319274902344,37.619998931884766,19.562715530395508,34.51177215576172,16.83631706237793,43.02479553222656,18.592500686645508,4.334187030792236,7.617143154144287,43.194278717041016,33.67643737792969,27.283842086791992,,46.01811218261719,44.445335388183594,,14.042535781860352,29.29303550720215,25.546958923339844,14.346145629882812,
2010-01-07,23.415725708007812,6.421426296234131,6.5,,32.42202377319336,14.867366790771484,14.797037124633789,44.38515090942383,19.85944175720215,41.324058532714844,43.14958572387695,8.010130882263184,14.383109092712402,27.372291564941406,23.813053131103516,27.724872589111328,14.01906967163086,16.551237106323242,21.725116729736328,23.358333587646484,48.228641510009766,10.986271858215332,19.068607330322266,20.921701431274414,6.686672210693359,17.581289291381836,42.271270751953125,48.46855926513672,30.553794860839844,40.185699462890625,36.88999938964844,19.724769592285156,34.83153533935547,16.849672317504883,43.33987045288086,18.510000228881836,4.2492475509643555,7.485713958740234,42.79875946044922,33.64495849609375,27.624038696289062,,46.01811218261719,44.23051452636719,,14.180357933044434,29.858184814453125,25.31995391845703,14.256254196166992,
2010-01-08,23.577213287353516,6.46411657333374,6.676000118255615,,32.3424072265625,15.065566062927246,14.994297981262207,44.537742614746094,19.914382934570312,41.2694206237793,42.976497650146484,7.951447486877441,14.255669593811035,27.115230560302734,23.821496963500977,27.76842498779297,14.175594329833984,16.56166648864746,21.620677947998047,23.345956802368164,48.31373977661133,11.075207710266113,18.715660095214844,20.727783203125,6.666973114013672,17.674463272094727,42.132598876953125,48.00101089477539,30.051530838012695,39.983272552490234,36.689998626708984,19.82561492919922,35.01426315307617,16.569292068481445,43.297874450683594,18.537500381469727,4.2584309577941895,7.614285945892334,43.179073333740234,33.511138916015625,27.47346305847168,,46.792903900146484,43.911983489990234,,14.152363777160645,30.51750946044922,26.177942276000977,14.361126899719238,
2010-01-11,23.277313232421875,6.407093524932861,6.515500068664551,,32.23379898071289,15.042793273925781,14.971632957458496,44.544673919677734,19.857154846191406,41.10554885864258,43.458683013916016,7.913303852081299,14.383109092712402,27.297657012939453,23.42943572998047,27.315488815307617,14.25725269317627,16.62948226928711,21.008901596069336,23.4388427734375,49.17094802856445,11.164135932922363,19.095748901367188,20.6846923828125,6.623625755310059,17.624290466308594,42.08406066894531,47.43217086791992,30.38636589050293,40.643028259277344,36.209999084472656,19.92645263671875,34.87721252441406,16.742862701416016,43.63393783569336,18.412500381469727,4.1987433433532715,7.604286193847656,43.36921310424805,33.47964096069336,27.57386016845703,,47.34767150878906,43.963844299316406,,13.977935791015625,30.901508331298828,26.004804611206055,14.45102596282959,
2010-01-12,23.123506546020508,6.334212303161621,6.367499828338623,,31.48098373413086,14.776777267456055,14.70687484741211,44.78049850463867,19.763301849365234,41.576698303222656,43.242305755615234,7.910368919372559,13.898853302001953,26.576244354248047,23.416309356689453,26.84513282775879,14.025873184204102,16.645132064819336,20.87462043762207,23.25305938720703,48.88520050048828,11.128561973571777,19.302753448486328,20.167566299438477,6.505419731140137,17.344770431518555,42.67338562011719,47.08930587768555,29.465576171875,41.03289031982422,35.65999984741211,19.86882781982422,34.50416564941406,16.5626163482666,43.87199783325195,17.072500228881836,4.056413173675537,7.481429100036621,42.616214752197266,33.26708984375,27.42327117919922,,46.56333541870117,43.726806640625,,13.958556175231934,30.553735733032227,25.9278564453125,14.233770370483398,
2010-01-13,23.338834762573242,6.423559665679932,6.45550012588501,,32.0311279296875,14.69194221496582,14.622441291809082,45.06489181518555,19.946420669555664,42.00686264038086,43.06919860839844,7.816478729248047,14.119743347167969,26.982561111450195,24.025014877319336,27.2545166015625,14.264062881469727,16.624258041381836,20.986522674560547,24.107635498046875,48.514366149902344,11.389436721801758,19.35365867614746,20.52667999267578,6.607867240905762,17.66012954711914,43.0200309753418,47.658145904541016,29.29815101623535,41.2428092956543,36.279998779296875,20.057470321655273,34.702117919921875,16.68277931213379,43.82297897338867,17.125,4.111508846282959,7.708570957183838,42.99653244018555,33.64495849609375,27.702131271362305,,46.582462310791016,44.00088119506836,,14.083456993103027,30.66242027282715,25.95863914489746,13.79926872253418,
2010-01-14,23.80791664123535,6.386356830596924,6.367499828338623,,32.349647521972656,14.761011123657227,14.691184043884277,45.15507507324219,20.015100479125977,42.047828674316406,43.07539749145508,7.684443950653076,14.289652824401855,27.629344940185547,24.4311466217041,27.01934051513672,14.617936134338379,16.28520393371582,21.11335563659668,24.764041900634766,48.36237716674805,11.490230560302734,19.387598037719727,20.821151733398438,6.5684638023376465,17.88231658935547,43.54001235961914,47.96985626220703,29.381864547729492,40.643028259277344,35.900001525878906,20.079233169555664,35.00666809082031,16.722827911376953,43.864986419677734,17.297500610351562,4.047229766845703,7.284286022186279,42.7150993347168,33.944091796875,27.663084030151367,,46.31462478637695,43.49715805053711,,13.995161056518555,30.843551635742188,25.539257049560547,13.806757926940918,
2010-01-15,23.73101043701172,6.279629707336426,6.35699987411499,,31.618528366088867,14.514514923095703,14.445853233337402,44.78049850463867,19.717517852783203,41.52890396118164,42.72303009033203,7.567077159881592,13.813897132873535,27.985910415649414,24.63468360900879,26.65351104736328,14.15517520904541,15.951370239257812,21.314790725708008,24.442031860351562,48.16781997680664,11.555445671081543,19.102535247802734,20.167566299438477,6.5527024269104,17.48811912536621,43.18642807006836,47.39320373535156,28.62848472595215,40.24567413330078,35.869998931884766,20.130022048950195,34.724945068359375,16.736186981201172,43.60593032836914,17.157499313354492,3.9278564453125,7.278571128845215,42.7835693359375,33.7000617980957,27.674245834350586,,45.673763275146484,43.54902648925781,,13.865954399108887,30.88701820373535,25.22762107849121,13.664422988891602,
